Interface Label,Required/Optional,Definition,Ontology ID,Value Type,Example,Guidance,Comments,
Input File Name,Mandatory,The name of a file containing molecular sequence data.,OBI:0002874,String,ERR3581801,Tools can have multiple input files (genomic/amino acid). Multiple input files will be accomodated by their corresponding parser. ,,
Input Sequence ID,Optional,An identifier of molecular sequence(s) or entries from a molecular sequence database.,GENEPIO:0001800,String,DAAGAT010000041.1,Can be left blank if not provided.,,
Input Protein Start ,Optional,The position of the first amino acid in a protein sequence being analyzed (input protein sequence).,OBI:0002975,Int,6,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.","can start at 1 or 0, fmin/fmax (start at 0), NCBI starts at 1 but CARD database starts at 0",
Input Protein Stop ,Optional,The position of the last amino acid in a protein sequence being analyzed (input protein sequence).,OBI:0002976,Int,307,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Input Gene Start ,Optional,The position of the first nucleotide in a gene sequence being analyzed (input gene sequence).,OBI:0002977,Int,18,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Input Gene Stop,Optional,The position of the last nucelotide in a gene sequence being analyzed (input gene sequence).,OBI:0002978,Int,921,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Reference Protein Start ,Optional,The position of the first amino acid in a reference protein sequence (sequence being used for comparison).,OBI:0002979,Int,1,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Reference Protein Stop ,Optional,The position of the last amino acid in a reference protein sequence (sequence being used for comparison).,OBI:0002980,Int,300,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Reference Gene Start ,Optional,The position of the first nucleotide in a reference gene sequence (sequence being used for comparison).,OBI:0002981,Int,1,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Reference Gene Stop ,Optional,The position of the last nucelotide in a reference sequence (sequence being used for comparison).,OBI:0002982,Int,900,"The value should be biologically relevant, and should not start with 0. Can be left blank if not provided.",,
Strand Orientation,Optional,The orientation of a genomic element on the double stranded molecule.,OBI:0002876,String,"(+), sense","Values should be sense or antisense, or the corresponding short form ""+"" or ""-"". The terms ""positive"" and ""negative"" should be avoided. Can be left blank if not provided.","sense or antisense, or use short hand +/-",
Gene Symbol,Mandatory,The short name of a gene; a single word that does not contain white space characters. It is typically derived from the gene name.,OBI:0002877,String,"catA1, blaOXA-101","Acceptable values may represent gene symbols or gene product symbols. ""Gene symbol"" and ""allele"" (based on amino acid variations) may be used interchangeably due to nuances in resistance gene family nomenclature. Parsers should include values from ""gene symbol"" and ""allele"" fields in this category. Either the ""gene symbol"" or the ""gene name"" must be provided.","every aa diff for beta lactamases is a new allele, not the case for all amr gene families; novel allele, leave it blank","Comment: I don't think if it's a novel allele, this should be blank (hence why it's mandatory); it should instead say 'blaOXA', just without a number afterwards designating a specific allele (or it will alternatively list the allele with closest homology)"
Gene Name,Mandatory,"The name of a gene, (typically) assigned by a person and/or according to a naming scheme. It may contain white space characters and is typically more intuitive and readable than a gene symbol. It (typically) may be used to identify similar genes in different species and to derive a gene symbol.
",OBI:0002878,String,type A-1 chloramphenicol O-acetyltransferase ,"The long name for the gene/protein. Gene names or gene product names are acceptable.  Either the ""gene symbol"" or the ""gene name"" must be provided.",stress long form (describes protein); gene name or protein name?,
Coverage (depth),Optional,The average number of reads representing a given nucleotide in the reconstructed sequence.,GENEPIO:0000092,Float,56,The value is expressed as a fold value e.g. 56x.,,
